countries,topics,section_title,enb_start_date,enb_short_title,subtype,actors,enb_url,enb_long_title,type,id,enb_end_date
"Jamaica|United States|Senegal|Saudi Arabia|Norway|China","","OZONE AND CLIMATE ISSUES - HFCS AND PFCS","23-May-05","UNFCCC SB 22","","European Union","http://www.iisd.ca/vol12/enb12265e.html","United Nations Framework Convention on Climate Change: Twenty-Second Session of the Subsidiary Bodies","","enb12265e_8","23-May-05"
"","","IPCC AR4:","11-Dec-08","COP/MOP3","","","http://www.iisd.ca/vol12/enb12350e.html","United Nations Climate Change Conference - Bali","","enb12350e_9","11-Dec-08"
"Indigenous Peoples","","SINKS IN THE CDM","06-Dec-03","UNFCCC COP-9","","","http://www.iisd.ca/vol12/enb12226e.html","Ninth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12226e_10","06-Dec-03"
"","","AWG-KP Conclusions","02-Jun-08","SB-28","","","http://www.iisd.ca/vol12/enb12375e.html","Twenty-eighth Sessions of the UNFCCC Subsidiary Bodies, Second Session of the Ad Hoc Working Group Under the Convention, and fifth Session of the Ad Hoc Working Group Under the Kyoto Protocol","","enb12375e_23","13-Jun-08"
"Jamaica|China|Tuvalu|Mali|Maldives|Luxembourg|Egypt|Kenya","","OPENING OF THE SESSION","20-May-05","UNFCCC SB 22","","Least Developed Countries|Group of 77|African Group|European Union|Alliance of Small Island States","http://www.iisd.ca/vol12/enb12263e.html","United Nations Framework Convention on Climate Change: Twenty-Second Session of the Subsidiary Bodies","","enb12263e_1","20-May-05"
"Tuvalu|Sudan|United States|Japan|Bolivia|Australia|Trinidad and Tobago|Colombia|Saudi Arabia|Norway|China|New Zealand","","IMPLEMENTATION AND COMPLIANCE","01-Sep-15","ADP 2-10","","African Group|Independent association of Latin America and the Caribbean|European Union","http://www.iisd.ca/vol12/enb12640e.html","Bonn Climate Change Conference - August 2015","","enb12640e_7","01-Sep-15"
"Tanzania|Uganda|Brazil|Argentina|New Zealand","","OTHER MATTERS ON METHODOLOGICAL ISSUES","11-Jun-99","10th Session SBSTA & SBI","","","http://www.iisd.ca/vol12/enb12110e.html","Tenth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI)","","enb12110e_9","11-Jun-99"
"","National Communications & Inventories","SBI Conclusions","29-Nov-10","COP 16","","","http://www.iisd.ca/vol12/enb12498e.html","Cancún Climate Change Conference","","enb12498e_48","11-Dec-10"
"Russian Federation|France|Russia","","CONVENTION ARTICLE 6","07-May-07","SB 26","","","http://www.iisd.ca/vol12/enb12333e.html","Twenty-sixth sessions of the Subsidiary Bodies (SB 26) of the United Nations Framework Convention on Climate Change (UNFCCC)","SBI","enb12333e_14","18-May-07"
"","","SBSTA FINAL PLENARY","11-Jun-99","10th Session SBSTA & SBI","PLENARY","","http://www.iisd.ca/vol12/enb12110e.html","Tenth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI)","SBSTA","enb12110e_14","11-Jun-99"
